"","district","weekstartdate","anycases","totalcases","est"
"19934","faulk",2011-12-25,0,0,5.17449105881252e-07
"19935","faulk",2011-11-20,0,0,1.7415810067652e-05
"19936","faulk",2011-11-27,0,0,7.0550282896796e-06
"19937","sanborn",2011-12-18,0,0,6.53528368246034e-07
"19938","spink",2011-07-10,0,0,0.0271979837986576
"19939","sanborn",2011-03-20,0,0,3.12520693407009e-07
"19940","sanborn",2011-12-25,0,0,4.18876994424254e-07
"19941","faulk",2011-12-18,0,0,7.46117959711686e-07
"19942","faulk",2011-12-04,0,0,3.46963496754697e-06
"19943","turner",2012-10-14,0,0,0.00495173181779494
"19944","turner",2012-10-07,0,0,0.0114540141859054
"19945","jerauld",2012-09-16,1,1,0.0273742622810735
"19946","hand",2012-09-09,0,0,0.0986444439275972
"19947","edmunds",2012-02-19,0,0,3.7073466857102e-06
"19948","edmunds",2012-01-22,0,0,3.04433494745718e-06
"19949","turner",2012-09-30,0,0,0.0288100906328105
"19950","beadle",2012-01-08,0,0,1.00199741045517e-05
"19951","beadle",2012-01-15,0,0,9.8102203178295e-06
"19952","edmunds",2012-01-15,0,0,5.19882880661588e-06
"19953","turner",2012-10-28,0,0,0.00129083489402129
"19954","edmunds",2012-02-05,0,0,5.29830285054901e-06
"19955","turner",2012-11-04,0,0,0.000656549243015289
"19956","beadle",2012-01-22,0,0,5.94717951156205e-06
"19957","edmunds",2012-03-11,0,0,9.34997510371123e-06
"19958","turner",2012-11-25,0,0,8.90395255137961e-05
"19959","turner",2012-12-02,0,0,4.53603614480649e-05
"19960","turner",2012-11-11,0,0,0.000334458125000989
"19961","edmunds",2012-01-29,0,0,3.46375420474471e-06
"19962","turner",2012-09-23,0,0,0.0521354550850919
"19963","edmunds",2012-01-01,0,0,4.82259973762638e-06
"19964","turner",2012-12-23,0,0,6.92777292603463e-06
"19965","edmunds",2012-01-08,0,0,5.1915060190188e-06
"19966","beadle",2012-01-29,0,0,5.99737796424761e-06
"19967","turner",2012-10-21,0,0,0.00261991487111317
"19968","edmunds",2012-02-12,0,0,3.0643056477575e-06
"19969","beadle",2012-06-03,0,0,0.0332342901924914
"19970","turner",2012-11-18,0,0,0.000161170204648765
"19971","edmunds",2012-03-04,0,0,5.37042033026027e-06
"19972","beadle",2012-06-24,0,0,0.0801507933009312
"19973","edmunds",2012-04-08,0,0,0.000570594246709678
"19974","edmunds",2012-04-15,0,0,0.00100252587400434
